,斷詞,次數
0,火箭,7
1,超大,6
2,大型,6
3,超大型,6
4,砲,6
5,,5
6,飛彈,5
7,北韓,5
8,南韓,4
9,測試,3
10,這次,3
11,彈道,3
12,短程,3
13,進行,3
14,今天,3
15,公里,3
16,而是,2
17,時,2
18,飛,2
19,行距,2
20,離,2
21,軍,2
22,南,2
23,中央,2
24,及,2
25,多枚,2
26,針對,2
27,專家,2
28,飛行體,2
29,推測,2
30,月,1
31,韓美,1
32,當局,1
33,歸類,1
34,北韓官,1
35,媒在,1
36,2019,1
37,年,1
38,8,1
39,韓美聯,1
40,首次,1
41,導引,1
42,使用,1
43,名稱,1
44,用以,1
45,指稱,1
46,多管,1
47,火箭炮,1
48,功能,1
49,400,1
50,具有,1
51,600mm,1
52,委員,1
53,申宗佑,1
54,音譯,1
55,考慮,1
56,時間,1
57,試射,1
58,改良,1
59,據,1
60,且,1
61,韓情,1
62,報當局,1
63,取得,1
64,資料,1
65,射程,1
66,可達,1
67,金正恩,1
68,領導人,1
69,出席,1
70,2022,1
71,影音,1
72,承功,1
73,1130422,1
74,本網,1
75,站,1
76,之,1
77,文字,1
78,圖片,1
79,非經,1
80,年底,1
81,授權,1
82,不得,1
83,轉載,1
84,公開,1
85,播送,1
86,或公開,1
87,傳輸及,1
88,陳,1
89,編輯,1
90,核武,1
91,戰術,1
92,專門,1
93,勞動黨,1
94,委員會,1
95,大會,1
96,致贈,1
97,儀式,1
98,曾,1
99,宣稱,1
100,持有,1
101,攻擊,1
102,範圍,1
103,涵蓋,1
104,全境,1
105,可,1
106,搭載,1
107,研究,1
108,韓國防,1
109,論壇,1
110,落入,1
111,向,1
112,東海,1
113,發射,1
114,飛行,1
115,300,1
116,韓軍方,1
117,多公里,1
118,海,1
119,分,1
120,考量,1
121,專電南,1
122,22,1
123,首爾,1
124,距離,1
125,平壤,1
126,約,1
127,左右,1
128,1,1
129,安保,1
130,北,1
131,習,1
132,挑釁,1
133,依規劃,1
134,不是,1
135,試射應,1
136,分析,1
137,韓發射,1
138,合同,1
139,監測,1
140,參謀,1
141,本部,1
142,到,1
143,天下,1
144,下午,1
145,今天下午,1
146,3,1
147,330,1
148,至,1
149,350,1
150,韓美聯合,1
151,試射彈,1
152,道,1
153,中央社,1
154,19,1
155,日試,1
156,射戰略,1
157,巡弋,1
158,軍演,1
159,處,1
160,無關,1
161,單純,1
162,武測試,1
163,韓聯社,1
164,引述,1
165,記者,1
166,合演,1
167,認為,1
168,參,1
169,軍機,1
170,多架,1
171,主要,1
172,軍事,1
173,設施,1
174,美國,1
175,空軍自,1
176,12,1
177,至今,1
178,正在,1
179,聯合,1
180,編隊,1
181,廖禹揚,1
182,綜合,1
183,訓練動員,1
184,雙方,1
185,100,1
186,利用,1
