,messages,time
0,: 安捏過個台灣海峽 1TB上看5萬?," 03/30 20:43
"
1,: 感覺48990or49990了吧," 03/30 20:44
"
2,: 16g/512g," 03/30 20:44
"
3,: https://i.urusai.cc/g9zKI.jpg," 03/30 20:45
"
4,: 大砲就快一萬了," 03/30 20:46
"
5,:  囂張 這是X300U+400mm大砲 梁靜茹演唱會46分鐘," 03/30 20:46
"
6,:  https://m.weibo.cn/detail/5282267190795522," 03/30 20:46
"
7,: 512G的旗艦機竟然還只有12G記憶體," 03/30 20:47
"
8,:  https://weibo.com/tv/show/1034:5282193241473093," 03/30 20:47
"
9,: https://l.urusai.cc/5H74N.jpg," 03/30 20:47
"
10,: 微博那個影片看起來沒很厲害阿，是坐非常遠嗎," 03/30 20:48
"
11,: 好險有16+512G的版本，不然就跟三星難兄難弟," 03/30 20:48
"
12,: 全套11999台幣是不是至少六萬？," 03/30 20:50
"
13,: 微博影片沒有對照遠近確實很難體現畫質如何 不過若," 03/30 20:57
"
14,: 是400mm錄影加上這穩定度覺得也是蠻不錯了," 03/30 20:57
"
15,: 大全套搭的是衛星版，國際版大概不會有吧？," 03/30 20:58
"
16,: 另外有看到台灣媒體也有同步發，台灣確認三色都有," 03/30 20:58
"
17,: 也有1TB版本," 03/30 20:58
"
18,: https://share.google/keNa8515VCf8hS8TL," 03/30 20:58
"
19,: 問題當然也是樓上提的頂配也6萬臺幣了," 03/30 20:58
"
20,: ROG既視感？反正喜歡的還是會狂吹猛吹," 03/30 21:00
"
21,: 感覺X300 pro會漲價..," 03/30 21:01
"
22,: 堆料堆好堆滿不能吹，難道吹擠牙膏的嗎," 03/30 21:01
"
23,: 那個假圖下面我說的價格是正確的," 03/30 21:10
"
24,: http://i.imgur.com/hPX1Odw.jpg," 03/30 21:11
"
25,: 那你很棒啊," 03/30 21:12
"
26,: 這次X300S跟U零售版都是9600，1T給10667不知道國際," 03/30 21:12
"
27,: 版會不會砍規格," 03/30 21:12
"
28,: http://i.imgur.com/vTS1kQl.jpg," 03/30 21:12
"
29,: 期待V粉開箱," 03/30 21:13
"
30,: 加400mm增距鏡應該6萬了吧，尊貴不凡，恭喜板上V粉," 03/30 21:14
"
31,": ，以後不只可以嘴其他廠牌相機, 連價格也可以嘴了"," 03/30 21:14
"
32,: 台灣再來個有誠意的舊換新吧," 03/30 21:21
"
33,: 23u有點心動 希望台灣價格趕快出來," 03/30 21:22
"
34,: 台版猜定價+8000好了," 03/30 21:29
"
35,: 應該比三星便宜一點44900交朋友," 03/30 21:31
"
36,: 訂價比200ultra 多了1000人民幣，不便宜," 03/30 21:33
"
37,: 按照NCC進的規格，要比三星S26u 512G不是50990嗎," 03/30 21:34
"
38,: 不可能比三星貴，44900然後再舊換新吸蘋果三星用戶," 03/30 21:38
"
39,: X100p-X300p 台版大概都加1萬，摺疊Fold5 更是加了," 03/30 21:45
"
40,: 快1.5萬，不覺得300u 台V會多佛心..," 03/30 21:45
"
41,: Oppo N6都還沒開獎嗎？," 03/30 21:47
"
42,: 佛的是舊換新，反正入手價通常不會太難看，等發表," 03/30 21:48
"
43,: 再說吧," 03/30 21:48
"
44,: N6印象是4/9台灣發," 03/30 21:49
"
45,: 台版X300P上市有舊換新加碼、電商現折8000但有限量," 03/30 21:50
"
46,: https://i.mopix.cc/bziHVM.jpg," 03/30 21:51
"
47,: https://i.mopix.cc/ngAU85.jpg," 03/30 21:51
"
48,: 算下來跟陸版差沒多少," 03/30 21:51
"
49,: https://i.mopix.cc/M8iqBD.jpg," 03/30 21:51
"
50,: https://i.mopix.cc/jxngue.jpg," 03/30 21:51
"
51,: https://i.mopix.cc/tIMuAR.jpg," 03/30 21:52
"
52,: https://i.mopix.cc/uEZ5rX.jpg," 03/30 21:52
"
53,: https://i.mopix.cc/HsxuUL.jpg," 03/30 21:52
"
54,: https://i.mopix.cc/B2uvRQ.jpg," 03/30 21:52
"
55,: https://i.mopix.cc/fQ4XHj.jpg," 03/30 21:53
"
56,: https://i.mopix.cc/Szebpn.jpg," 03/30 21:53
"
57,: https://i.mopix.cc/0XdK29.jpg," 03/30 21:53
"
58,: https://i.mopix.cc/ToTdwZ.jpg," 03/30 21:54
"
59,: https://i.mopix.cc/fd9bzV.jpg," 03/30 21:54
"
60,: https://i.mopix.cc/WNp3VP.jpg," 03/30 21:54
"
61,: 阿庫：咱17 pro max 1200美金賣44.9k台票看來也還," 03/30 21:56
"
62,: 好了484阿?XD," 03/30 21:56
"
63,: 真的好期待 希望台灣vivo趕快引進！," 03/30 21:56
"
64,:  https://youtu.be/gvLzNZ3c3ow ZPH," 03/30 21:59
"
65,: 看完鈡文澤的演唱會影片覺得蠻厲害的，但對岸看這," 03/30 22:00
"
66,: 價格彈目還是噴貴," 03/30 22:00
"
67,:   https://youtu.be/kbGcVleJs20 阿盧叔叔:有手就行," 03/30 22:03
"
68,: 接下來看oppo表現了," 03/30 22:06
"
69,: 這價格不行啊," 03/30 22:07
"
70,: 台灣估計38990起," 03/30 22:08
"
71,: 但這個價格不如買a6700+1850+56...," 03/30 22:08
"
72,: 想請問x300s跟oppo x9 pro，這樣看起來會比較推哪一," 03/30 22:09
"
73,: 隻呢？家人剛好在大陸," 03/30 22:09
"
74,: x300s跟x9U不同級別 怎麼會這樣比," 03/30 22:13
"
75,: x9 pro才對," 03/30 22:13
"
76,: https://i.mopix.cc/IatPQ7.jpg," 03/30 22:16
"
77,: 香港 台灣 預計4月底上市 再等幾週！," 03/30 22:17
"
78,: a大不好意思，可以請您細說嗎？," 03/30 22:25
"
79,: 簡單說X9pro=X300pro>X300s>X300," 03/30 22:29
"
80,: 你單眼願意天天拿 那你就買單眼阿," 03/30 22:36
"
81,: 牙膏擠不夠 等14," 03/30 22:39
"
82,: 300U看小白好像問題大會...," 03/30 22:50
"
