,斷詞,次數
0,台灣,11
1,看,11
2,比,9
3,吧,9
4,+,8
5,錄影,7
6,不,6
7,好,6
8,三星,6
9,新,6
10,沒,6
11,大,5
12,等,5
13,增距鏡,5
14,人民,5
15,焦段,5
16,演唱,5
17,可以,5
18,V,4
19,那個,4
20,期待,4
21,不會,4
22,買,4
23,台版,4
24,知道,4
25,用,4
26,400mm,4
27,X300U,4
28,要,4
29,舊換,4
30,價格,4
31,這樣,3
32,版本,3
33,是不是,3
34,至少,3
35,台,3
36,不錯,3
37,沒有,3
38,難用,3
39,小米,3
40,較,3
41,vivo,3
42,秒,3
43,影片,3
44,便宜,3
45,應該,3
46,大概,3
47,萬,3
48,還是,3
49,1TB,3
50,5,3
51,x300s,3
52,Log,3
53,esim,2
54,這價格,2
55,貴,2
56,怎麼,2
57,不是,2
58,月底,2
59,反正,2
60,4,2
61,35mm,2
62,小時,2
63,不同,2
64,上市,2
65,吹,2
66,這個,2
67,能,2
68,oppo,2
69,表現,2
70,希望,2
71,漲,2
72,趕快,2
73,嘴,2
74,出來,2
75,行,2
76,牙膏,2
77,8000,2
78,6,2
79,給,2
80,推,2
81,這次,2
82,隻,2
83,呢,2
84,1000,2
85,44900,2
86,1,2
87,全套,2
88,那些,2
89,台幣,2
90,提,2
91,外接,2
92,ProRes,2
93,值得,2
94,1G,2
95,近年,2
96,厲害,2
97,下放,2
98,微博,2
99,安卓旗,2
100,12G,2
101,APV,2
102,4K120Log,2
103,分鐘,2
104,很大,2
105,吃,2
106,SSD,2
107,容量,2
108,快,2
109,砲,2
110,一定,2
111,有點,2
112,評測,2
113,加上,2
114,幣,2
115,單眼,2
116,小白,2
117,蠻,2
118,影版,2
119,加,2
120,攝,2
121,看到,2
122,還好,2
123,>,2
124,真的,2
125,流,2
126,問題,2
127,蘋果,2
128,不過,2
129,留,1
130,位置,1
131,買到,1
132,殼,1
133,撞,1
134,100MB,1
135,錄,1
136,現在,1
137,陸版,1
138,httpsyoutubelQ9NITQxBDU,1
139,8K30Log,1
140,高通,1
141,介紹,1
142,httpiimgurcomL8iVGLcjpg,1
143,APV5,1
144,競爭,1
145,YTber,1
146,出,1
147,打,1
148,話,1
149,x9u,1
150,推要,1
151,倒,1
152,狂嘴,1
153,安捏,1
154,50016G,1
155,支援,1
156,OppoX9ultra,1
157,眼,1
158,蠻礙,1
159,組合,1
160,增距,1
161,陽具,1
162,點爛爛,1
163,一噴有,1
164,效果,1
165,音響,1
166,拍成,1
167,攝影師,1
168,野生,1
169,驚,1
170,原檔,1
171,幾小時,1
172,甚至,1
173,鐘,1
174,十分,1
175,幾,1
176,夠裝,1
